,id,session_labels,title,label,description,live_status,legacy_alias,user_id,created_date,date,updated_date,video_id,video_url,category_id,category_label,doc_id,doc_url,categories,documents
0,234,"[3, 6, 17, 19]",City Council Work Session and Meeting of the URA 01-13-2016,City Council Work Session and Meeting of the URA 01-13-2016,,0,shows/city-council-work-session-and-meeting-ura-01-13-2016,134.0,2016-01-13,2016-01-13,2017-03-20,23MR2A_fSPA,https://www.youtube.com/watch?v=23MR2A_fSPA,20.0,City Council,121.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_11.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_11.pdf', u'storage': u'attachment', u'session_id': u'234', u'label': None, u'file_id': u'191', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session and Meeting of the URA 01-13-2016', u'type': u'Agenda', u'id': u'121', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_20.pdf', u'storage': u'attachment', u'session_id': u'234', u'label': None, u'file_id': u'192', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session and Meeting of the URA 01-13-2016', u'type': u'Minutes', u'id': u'122', u'agenda_provider_id': None}]"
1,574,"[3, 8, 17]",Planning Commission  10-27-2014,Planning Commission  10-27-2014,,0,shows/planning-commission-10-27-2014,134.0,2014-10-27,2014-10-27,2017-03-20,N1MQnm-E0NM,https://www.youtube.com/watch?v=N1MQnm-E0NM,22.0,Planning Commission,724.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_104_0.pdf,"[{u'livestream': u'1', u'position': u'-9', u'user_id': u'134', u'id': u'22', u'label': u'Planning Commission'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_104_0.pdf', u'storage': u'attachment', u'session_id': u'574', u'label': None, u'file_id': u'795', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Commission  10-27-2014', u'type': u'Agenda', u'id': u'724', u'agenda_provider_id': None}]"
2,281,"[12, 18]",City Council Work Session 05-20-2015,City Council Work Session 05-20-2015,,0,shows/city-council-work-session-05-20-2015,134.0,2015-05-20,2015-05-20,2017-03-20,IXhaAkI0zes,https://www.youtube.com/watch?v=IXhaAkI0zes,20.0,City Council,209.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_99.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_99.pdf', u'storage': u'attachment', u'session_id': u'281', u'label': None, u'file_id': u'279', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 05-20-2015', u'type': u'Agenda', u'id': u'209', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_63.pdf', u'storage': u'attachment', u'session_id': u'281', u'label': None, u'file_id': u'280', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 05-20-2015', u'type': u'Minutes', u'id': u'210', u'agenda_provider_id': None}]"
3,853,"[0, 2, 4, 11, 12, 13, 15, 16, 19]",City Council Meeting 07-12-2010,City Council Meeting 07-12-2010,,0,shows/city-council-meeting-07-12-2010,134.0,2010-07-12,2010-07-12,2017-03-20,y8-gH_759Fk,https://www.youtube.com/watch?v=y8-gH_759Fk,20.0,City Council,1153.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_222.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_222.pdf', u'storage': u'attachment', u'session_id': u'853', u'label': None, u'file_id': u'1224', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Meeting 07-12-2010', u'type': u'Agenda', u'id': u'1153', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_279.pdf', u'storage': u'attachment', u'session_id': u'853', u'label': None, u'file_id': u'1225', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Meeting 07-12-2010', u'type': u'Minutes', u'id': u'1154', u'agenda_provider_id': None}]"
4,204,"[3, 4, 19]",City Council Work Session 05-23-2016,City Council Work Session 05-23-2016,,0,shows/city-council-work-session-05-23-2016,134.0,2016-05-23,2016-05-23,2017-03-20,WKDH_6A5xYY,https://www.youtube.com/watch?v=WKDH_6A5xYY,20.0,City Council,66.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_6_0.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_6_0.pdf', u'storage': u'attachment', u'session_id': u'204', u'label': None, u'file_id': u'136', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 05-23-2016', u'type': u'Agenda', u'id': u'66', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_2_0.pdf', u'storage': u'attachment', u'session_id': u'204', u'label': None, u'file_id': u'137', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 05-23-2016', u'type': u'Minutes', u'id': u'67', u'agenda_provider_id': None}]"
5,3683,"[2, 12]","Thornton360 - March 1, 2017","Thornton360 - March 1, 2017","<p>Thornton360 is produced by the city of Thornton after each city council meeting, recapping the latest meeting and keeping residents informed about important news, issues and events happening in our community.</p>

<p><a href=""http://www.cityofthornton.tv/"" style=""color: rgb(51, 149, 210);"">www.cityofthornton.tv</a></p>
",0,,186.0,2017-03-01,2017-03-01,2017-07-11,5YUQSSsrxyY,https://www.youtube.com/watch?v=5YUQSSsrxyY,59.0,Thornton360,,,"[{u'livestream': u'0', u'position': u'-9', u'user_id': u'186', u'id': u'59', u'label': u'Thornton360'}]",
6,236,"[3, 16, 18]",City Council Work Session 01-11-2016,City Council Work Session 01-11-2016,,0,shows/city-council-work-session-01-11-2016,134.0,2016-01-11,2016-01-11,2017-03-20,Sa5C9hR-Qxs,https://www.youtube.com/watch?v=Sa5C9hR-Qxs,20.0,City Council,125.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_48.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_48.pdf', u'storage': u'attachment', u'session_id': u'236', u'label': None, u'file_id': u'195', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 01-11-2016', u'type': u'Agenda', u'id': u'125', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_22.pdf', u'storage': u'attachment', u'session_id': u'236', u'label': None, u'file_id': u'196', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Work Session 01-11-2016', u'type': u'Minutes', u'id': u'126', u'agenda_provider_id': None}]"
7,8438,"[3, 6, 7, 11]",Planning Commission  Special Study Session  - 07/23/12,Planning Commission  Special Study Session  - 07/23/12,,0,,199.0,2012-07-23,2012-07-23,2017-08-01,-Ai5cDgrJhA,https://www.youtube.com/watch?v=-Ai5cDgrJhA,70.0,Planning,2725.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/granicus_files/891_calendar_1343023200.html,"[{u'livestream': u'1', u'position': u'0', u'user_id': u'199', u'id': u'70', u'label': u'Planning'}]","[{u'user_id': u'199', u'type_id': u'3', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/199/granicus_files/891_calendar_1343023200.html', u'storage': u'external', u'session_id': u'8438', u'label': None, u'file_id': None, u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Commission  Special Study Session  - 07/23/12', u'type': u'Calendar', u'id': u'2725', u'agenda_provider_id': None}]"
8,580,"[0, 7, 12, 16, 18, 19]",City Council Public Hearing and Meeting of the URA 05-21-2012,City Council Public Hearing and Meeting of the URA 05-21-2012,,0,shows/city-council-public-hearing-and-meeting-ura-05-21-2012,134.0,2012-05-21,2012-05-21,2017-03-20,6aG92JSWdBc,https://www.youtube.com/watch?v=6aG92JSWdBc,20.0,City Council,732.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_108.pdf,"[{u'livestream': u'1', u'position': u'-10', u'user_id': u'134', u'id': u'20', u'label': u'City Council'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_108.pdf', u'storage': u'attachment', u'session_id': u'580', u'label': None, u'file_id': u'803', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Public Hearing and Meeting of the URA 05-21-2012', u'type': u'Agenda', u'id': u'732', u'agenda_provider_id': None}, {u'user_id': u'134', u'type_id': u'4', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/minutes_91_0.pdf', u'storage': u'attachment', u'session_id': u'580', u'label': None, u'file_id': u'804', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'City Council Public Hearing and Meeting of the URA 05-21-2012', u'type': u'Minutes', u'id': u'733', u'agenda_provider_id': None}]"
9,710,"[3, 5, 16, 18]",Planning Commission  03-18-2013,Planning Commission  03-18-2013,,0,shows/planning-commission-03-18-2013,134.0,2013-03-18,2013-03-18,2017-03-20,xmtIf0yvg7U,https://www.youtube.com/watch?v=xmtIf0yvg7U,22.0,Planning Commission,933.0,https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_164_0.pdf,"[{u'livestream': u'1', u'position': u'-9', u'user_id': u'134', u'id': u'22', u'label': u'Planning Commission'}]","[{u'user_id': u'134', u'type_id': u'1', u'url': u'https://ompnetwork.s3-us-west-2.amazonaws.com/sites/134/documents/agenda_packet_164_0.pdf', u'storage': u'attachment', u'session_id': u'710', u'label': None, u'file_id': u'1004', u'provider': u'generic', u'agenda_provider_agenda_id': None, u'session_title': u'Planning Commission  03-18-2013', u'type': u'Agenda', u'id': u'933', u'agenda_provider_id': None}]"
